date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:08	2349/2349	---M--	200	added ('OK')	text/plain	etag:%22da6568-92d-59c4481be6100%22	https://www.nyu.edu/robots.txt		(from )
11:48:09	475/475	---M-Z	200	added ('OK')	text/html	etag:%22581715-1db-365a1468e4180%22	https://www.nyu.edu/classes/stephens/	www.nyu.edu/classes/stephens/index.html	(from )
11:48:09	1678/1678	---M-Z	200	added ('OK')	text/html	etag:%225816c4-68e-379b0728a4040%22	https://www.nyu.edu/classes/stephens/MS_home_frame2.htm	www.nyu.edu/classes/stephens/MS_home_frame2.html	(from https://www.nyu.edu/classes/stephens/)
11:48:10	13728/13728	---M-Z	200	added ('OK')	text/html	etag:%225816c2-35a0-38094ad787600%22	https://www.nyu.edu/classes/stephens/MS_home_4.htm	www.nyu.edu/classes/stephens/MS_home_4.html	(from https://www.nyu.edu/classes/stephens/)
11:48:11	478/478	---M-Z	200	added ('OK')	text/html	etag:%2258170b-1de-3809526e29d40%22	https://www.nyu.edu/classes/stephens/bio.htm	www.nyu.edu/classes/stephens/bio.html	(from https://www.nyu.edu/classes/stephens/MS_home_frame2.htm)
11:48:12	30155/30155	---M-Z	200	added ('OK')	text/html	etag:%2258172d-75cb-38f754bee8380%22	https://www.nyu.edu/classes/stephens/roadthinker_home.htm	www.nyu.edu/classes/stephens/roadthinker_home.html	(from https://www.nyu.edu/classes/stephens/MS_home_frame2.htm)
11:48:13	3994/3994	---M-Z	200	added ('OK')	text/html	etag:%225816e0-f9a-38094e6a1a3c0%22	https://www.nyu.edu/classes/stephens/Recent_Work.htm	www.nyu.edu/classes/stephens/Recent_Work.html	(from https://www.nyu.edu/classes/stephens/MS_home_frame2.htm)
11:48:14	4669/4669	---M-Z	200	added ('OK')	text/html	etag:%22581668-123d-365a13b876140%22	https://www.nyu.edu/classes/stephens/Books%20page.htm	www.nyu.edu/classes/stephens/Books%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_frame2.htm)
11:48:15	14064/14064	---M-Z	200	added ('OK')	text/html	etag:%22581662-36f0-36dfcf7d130c0%22	https://www.nyu.edu/classes/stephens/Articles%20page.htm	www.nyu.edu/classes/stephens/Articles%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_frame2.htm)
11:48:16	3072/3072	---M-Z	200	added ('OK')	text/html	etag:%225816fe-c00-3818e74db4c00%22	https://www.nyu.edu/classes/stephens/Video%20page.htm	www.nyu.edu/classes/stephens/Video%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_frame2.htm)
11:48:17	1704/1704	---M-Z	200	added ('OK')	text/html	etag:%225816e8-6a8-365a143df9c40%22	https://www.nyu.edu/classes/stephens/Textbooks%20page.htm	www.nyu.edu/classes/stephens/Textbooks%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_frame2.htm)
11:48:18	4986/4986	---M-Z	200	added ('OK')	text/html	etag:%22581676-137a-365a13cb88e40%22	https://www.nyu.edu/classes/stephens/Courses%20page.htm	www.nyu.edu/classes/stephens/Courses%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_frame2.htm)
11:48:19	1459/1459	---M-Z	200	added ('OK')	text/html	etag:%225816de-5b3-365a14374cc80%22	https://www.nyu.edu/classes/stephens/Radio%20page.htm	www.nyu.edu/classes/stephens/Radio%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:20	5017/5017	---M--	200	added ('OK')	image/jpeg	etag:%225816df-1399-365a143a29340%22	https://www.nyu.edu/classes/stephens/Radio.JPG	www.nyu.edu/classes/stephens/Radio.jpg	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:21	4097/4097	---M--	200	added ('OK')	image/jpeg	etag:%221001-365a142ccf3c0%22	https://www.nyu.edu/classes/stephens/NPR.jpg	www.nyu.edu/classes/stephens/NPR.jpg	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:22	12028/12028	---M-Z	200	added ('OK')	text/html	etag:%22581660-2efc-365a13b1c9180%22	https://www.nyu.edu/classes/stephens/Articles%20on%20Media%20page.htm	www.nyu.edu/classes/stephens/Articles%20on%20Media%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:24	21804/21804	---M-Z	200	added ('OK')	text/html	etag:%225816e9-552c-365a143fe20c0%22	https://www.nyu.edu/classes/stephens/The%20New%20TV%20page.htm	www.nyu.edu/classes/stephens/The%20New%20TV%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:24	451/451	---M-Z	200	added ('OK')	text/html	etag:%2258167e-1c3-365a13d41e280%22	https://www.nyu.edu/classes/stephens/Digital%20Wizards%20page.htm	www.nyu.edu/classes/stephens/Digital%20Wizards%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:25	10044/10044	---M-Z	200	added ('OK')	text/html	etag:%225816e2-273c-365a143b1d580%22	https://www.nyu.edu/classes/stephens/Rock%20of%20Ages%20page.htm	www.nyu.edu/classes/stephens/Rock%20of%20Ages%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:26	5339/5339	---M-Z	200	added ('OK')	text/html	etag:%225816dd-14db-365a143658a40%22	https://www.nyu.edu/classes/stephens/Radio%20history%20page.htm	www.nyu.edu/classes/stephens/Radio%20history%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:27	378/378	---M-Z	200	added ('OK')	text/html	etag:%225816b0-17a-365a1403cd300%22	https://www.nyu.edu/classes/stephens/JQ%20page.htm	www.nyu.edu/classes/stephens/JQ%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:28	3973/3973	---M-Z	200	added ('OK')	text/html	etag:%2258172a-f85-365a147ed3540%22	https://www.nyu.edu/classes/stephens/rise%20of%20the%20image%20page.htm	www.nyu.edu/classes/stephens/rise%20of%20the%20image%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:29	8281/8281	---M-Z	200	added ('OK')	text/html	etag:%225816a2-2059-365a13f0ba600%22	https://www.nyu.edu/classes/stephens/History%20of%20News%20Page.htm	www.nyu.edu/classes/stephens/History%20of%20News%20Page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:30	2919/2919	---M-Z	200	added ('OK')	text/html	etag:%22581661-b67-36dfcf6076d40%22	https://www.nyu.edu/classes/stephens/Articles%20on%20thought%20page.htm	www.nyu.edu/classes/stephens/Articles%20on%20thought%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:31	26598/26598	---M-Z	200	added ('OK')	text/html	etag:%225816b2-67e6-365a140f3ee00%22	https://www.nyu.edu/classes/stephens/Jacques%20Derrida%20-%20NYT%20-%20page.htm	www.nyu.edu/classes/stephens/Jacques%20Derrida%20-%20NYT%20-%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:32	38183/38183	---M-Z	200	added ('OK')	text/html	etag:%2258169d-9527-365a13e730f80%22	https://www.nyu.edu/classes/stephens/Habermas%20page.htm	www.nyu.edu/classes/stephens/Habermas%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:33	45251/45251	---M-Z	200	added ('OK')	text/html	etag:%22581696-b0c3-365a13dcb36c0%22	https://www.nyu.edu/classes/stephens/Greenblatt%20page.htm	www.nyu.edu/classes/stephens/Greenblatt%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:34	28909/28909	---M-Z	200	added ('OK')	text/html	etag:%225816d8-70ed-365a14337c380%22	https://www.nyu.edu/classes/stephens/Postmodern%20psych%20page.htm	www.nyu.edu/classes/stephens/Postmodern%20psych%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:35	32014/32014	---M-Z	200	added ('OK')	text/html	etag:%22581694-7d0e-365a13d9d7000%22	https://www.nyu.edu/classes/stephens/Globalization%20page.htm	www.nyu.edu/classes/stephens/Globalization%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:36	4815/4815	---M-Z	200	added ('OK')	text/html	etag:%22581727-12cf-365a14791a7c0%22	https://www.nyu.edu/classes/stephens/rise%20of%20the%20image%20-%20Wilson%20Quarterly.htm	www.nyu.edu/classes/stephens/rise%20of%20the%20image%20-%20Wilson%20Quarterly.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:37	7077/7077	---M-Z	200	added ('OK')	text/html	etag:%225816a1-1ba5-365a13efc63c0%22	https://www.nyu.edu/classes/stephens/History%20of%20News%20-%20WP%20Review.htm	www.nyu.edu/classes/stephens/History%20of%20News%20-%20WP%20Review.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:38	3276/3276	---M-Z	200	added ('OK')	text/html	etag:%2258166c-ccc-365a13bd3ac80%22	https://www.nyu.edu/classes/stephens/Broadcast%20News%20page.htm	www.nyu.edu/classes/stephens/Broadcast%20News%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
11:48:39	3881/3881	---M-Z	200	added ('OK')	text/html	etag:%22581701-f29-365a1454dd240%22	https://www.nyu.edu/classes/stephens/W%20&%20R%20page.htm	www.nyu.edu/classes/stephens/W%20&%20R%20page.html	(from https://www.nyu.edu/classes/stephens/MS_home_4.htm)
